player_name,season,receiving_yards,yards_after_catch,rush_attempts,rushing_yards,rush_touchdown,fumble,fumble_lost,receptions,targets,receiving_air_yards,receiving_touchdown,receptions_redzone,targets_redzone,receiving_touchdown_redzone,fantasy_points_ppr,top_10_next,offense_snaps,total_tds,total_yards,games_missed,age,games_played_season
Lance Kendricks,2013,258.0,108.0,0.0,0.0,0.0,0.0,0.0,32.0,44.0,210.0,4.0,6.0,9.0,4.0,77.8,0,544.0,8.0,258.0,2,25.0,14
Ladarius Green,2013,376.0,166.0,0.0,0.0,0.0,0.0,0.0,17.0,30.0,361.0,3.0,2.0,4.0,0.0,72.6,0,304.0,6.0,376.0,3,23.0,13
Kyle Rudolph,2013,313.0,119.0,0.0,0.0,0.0,0.0,0.0,30.0,44.0,383.0,3.0,2.0,5.0,1.0,75.3,0,424.0,6.0,313.0,8,23.0,8
Kellen Winslow,2013,388.0,127.0,0.0,0.0,0.0,0.0,0.0,31.0,47.0,395.0,2.0,4.0,7.0,2.0,81.8,0,282.0,4.0,388.0,5,30.0,11
Kellen Davis,2013,32.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,34.0,1.0,1.0,1.0,1.0,12.2,0,53.0,2.0,32.0,13,27.0,3
Julius Thomas,2013,788.0,408.0,0.0,0.0,0.0,0.0,0.0,65.0,89.0,632.0,12.0,14.0,18.0,8.0,213.8,1,901.0,24.0,788.0,2,25.0,14
Josh Hill,2013,44.0,33.0,1.0,-8.0,0.0,0.0,0.0,6.0,10.0,60.0,1.0,2.0,2.0,1.0,15.6,0,126.0,2.0,36.0,10,23.0,6
Jordan Reed,2013,499.0,248.0,1.0,18.0,0.0,0.0,0.0,45.0,58.0,384.0,3.0,7.0,8.0,3.0,110.7,0,378.0,6.0,517.0,7,23.0,9
Jordan Cameron,2013,917.0,238.0,0.0,0.0,0.0,1.0,0.0,80.0,113.0,1094.0,7.0,11.0,19.0,7.0,203.70000000000000,0,969.0,14.0,917.0,1,25.0,15
John Phillips,2013,30.0,17.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,26.0,0.0,1.0,1.0,0.0,7.0,0,79.0,0.0,30.0,10,26.0,6
John Carlson,2013,344.0,153.0,0.0,0.0,0.0,0.0,0.0,32.0,47.0,327.0,1.0,0.0,2.0,0.0,72.40000000000000,0,497.0,2.0,344.0,3,29.0,13
Joel Dreessen,2013,47.0,27.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,38.0,1.0,1.0,3.0,1.0,17.7,0,107.0,2.0,47.0,11,31.0,5
Jimmy Graham,2013,1215.0,397.0,0.0,0.0,0.0,0.0,0.0,86.0,137.0,1415.0,16.0,17.0,25.0,11.0,291.5,1,754.0,32.0,1215.0,0,26.0,16
Jermichael Finley,2013,300.0,225.0,0.0,0.0,0.0,0.0,0.0,25.0,33.0,203.0,3.0,5.0,5.0,3.0,71.0,0,252.0,6.0,300.0,10,26.0,6
Jermaine Gresham,2013,458.0,265.0,0.0,0.0,0.0,3.0,3.0,46.0,67.0,417.0,4.0,4.0,4.0,3.0,106.8,0,891.0,8.0,458.0,2,25.0,14
Jason Witten,2013,851.0,323.0,0.0,0.0,0.0,0.0,0.0,73.0,110.0,911.0,8.0,10.0,17.0,6.0,204.1,1,985.0,16.0,851.0,0,31.0,16
Jared Cook,2013,671.0,260.0,0.0,0.0,0.0,1.0,1.0,51.0,83.0,806.0,5.0,7.0,11.0,5.0,139.1,0,718.0,10.0,671.0,0,26.0,16
Jacob Tamme,2013,184.0,66.0,0.0,0.0,0.0,0.0,0.0,20.0,25.0,179.0,1.0,2.0,2.0,1.0,44.4,0,228.0,2.0,184.0,7,28.0,9
Jack Doyle,2013,19.0,13.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,3.0,0.0,1.0,2.0,0.0,6.9,0,110.0,0.0,19.0,11,23.0,5
Heath Miller,2013,593.0,224.0,0.0,0.0,0.0,1.0,1.0,58.0,77.0,538.0,1.0,5.0,9.0,1.0,118.3,0,902.0,2.0,593.0,2,30.0,14
Greg Olsen,2013,816.0,328.0,0.0,0.0,0.0,0.0,0.0,73.0,111.0,983.0,6.0,9.0,18.0,6.0,190.6,1,1000.0,12.0,816.0,0,28.0,16
Gavin Escobar,2013,134.0,37.0,0.0,0.0,0.0,0.0,0.0,9.0,14.0,129.0,2.0,1.0,4.0,1.0,32.4,0,144.0,4.0,134.0,7,22.0,9
Gary Barnidge,2013,127.0,91.0,0.0,0.0,0.0,0.0,0.0,13.0,18.0,83.0,2.0,2.0,4.0,1.0,37.7,0,404.0,4.0,127.0,4,27.0,12
Garrett Graham,2013,545.0,217.0,0.0,0.0,0.0,2.0,1.0,49.0,85.0,714.0,5.0,6.0,11.0,3.0,122.5,0,745.0,10.0,545.0,4,27.0,12
Fred Davis,2013,70.0,21.0,0.0,0.0,0.0,0.0,0.0,7.0,18.0,186.0,1.0,2.0,4.0,0.0,20.0,0,190.0,2.0,70.0,9,27.0,7
Ed Dickson,2013,273.0,101.0,0.0,0.0,0.0,0.0,0.0,25.0,40.0,398.0,1.0,3.0,3.0,1.0,52.3,0,566.0,2.0,273.0,3,26.0,13
Dwayne Allen,2013,20.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,34.0,1.0,1.0,1.0,1.0,9.0,0,30.0,2.0,20.0,15,23.0,1
Dion Sims,2013,32.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,51.0,1.0,1.0,1.0,1.0,15.2,0,150.0,2.0,32.0,9,22.0,7
Dennis Pitta,2013,97.0,32.0,0.0,0.0,0.0,0.0,0.0,12.0,17.0,117.0,0.0,0.0,2.0,0.0,19.700000000000000,0,93.0,0.0,97.0,14,28.0,2
Delanie Walker,2013,521.0,159.0,0.0,0.0,0.0,0.0,0.0,56.0,79.0,613.0,5.0,9.0,16.0,4.0,136.1,1,653.0,10.0,521.0,3,29.0,13
David Johnson,2013,70.0,31.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,48.0,0.0,0.0,0.0,0.0,11.0,0,73.0,0.0,70.0,12,26.0,4
Dante Rosario,2013,13.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,14.0,0.0,1.0,2.0,0.0,2.3,0,30.0,0.0,13.0,13,28.0,3
Dallas Clark,2013,343.0,181.0,0.0,0.0,0.0,0.0,0.0,31.0,50.0,324.0,3.0,4.0,10.0,3.0,79.3,0,333.0,6.0,343.0,5,34.0,11
D.J. Williams,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,1.0,0.0,0.0,0,11.0,0.0,0.0,15,24.0,1
Craig Stevens,2013,5.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,28.0,0.0,0.0,1.0,0.0,2.5,0,196.0,0.0,5.0,10,28.0,6
Coby Fleener,2013,608.0,254.0,0.0,0.0,0.0,1.0,0.0,52.0,84.0,723.0,4.0,9.0,13.0,3.0,130.8,1,817.0,8.0,608.0,0,24.0,16
Clay Harbor,2013,292.0,127.0,0.0,0.0,0.0,2.0,1.0,24.0,34.0,277.0,2.0,3.0,6.0,2.0,60.2,0,328.0,4.0,292.0,2,26.0,14
Chris Gragg,2013,53.0,10.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,52.0,1.0,1.0,1.0,1.0,16.3,0,21.0,2.0,53.0,14,23.0,2
Charles Clay,2013,759.0,357.0,7.0,15.0,1.0,0.0,0.0,69.0,100.0,715.0,6.0,10.0,15.0,5.0,184.4,0,855.0,13.0,774.0,0,24.0,16
Brent Celek,2013,502.0,278.0,0.0,0.0,0.0,1.0,1.0,32.0,49.0,419.0,6.0,5.0,10.0,4.0,111.2,0,844.0,12.0,502.0,0,28.0,16
Brandon Pettigrew,2013,416.0,188.0,0.0,0.0,0.0,1.0,1.0,41.0,62.0,406.0,2.0,4.0,7.0,2.0,89.6,0,903.0,4.0,416.0,2,28.0,14
Brandon Myers,2013,522.0,171.0,0.0,0.0,0.0,0.0,0.0,47.0,71.0,605.0,4.0,7.0,11.0,2.0,115.2,0,802.0,8.0,522.0,1,27.0,15
Benjamin Watson,2013,226.0,94.0,0.0,0.0,0.0,0.0,0.0,19.0,29.0,305.0,2.0,2.0,4.0,2.0,51.6,0,477.0,4.0,226.0,2,32.0,14
Bear Pascoe,2013,81.0,48.0,1.0,2.0,0.0,0.0,0.0,12.0,20.0,96.0,0.0,0.0,0.0,0.0,20.3,0,210.0,0.0,83.0,5,27.0,11
