player_name,position,season,receiving_yards,yards_after_catch,rush_attempts,rushing_yards,tackled_for_loss,rush_touchdown,pass_touchdown,interception,fumble,receptions,targets,receiving_touchdown,receptions_redzone,targets_redzone,receiving_touchdown_redzone,rush_attempts_redzone,rush_touchdown_redzone,fantasy_points_ppr,total_tds,touches,total_yards,age,games_played_season,top_10_next
Bryce Brown,RB,2013,84.0,94.0,76.0,314.0,15.0,2.0,0.0,0.0,0.0,8.0,13.0,0.0,0.0,0.0,0.0,12.0,1.0,59.8,2.0,84.0,398.0,22.0,15,0
C.J. Spiller,RB,2013,185.0,227.0,202.0,933.0,30.0,2.0,0.0,1.0,4.0,33.0,39.0,0.0,1.0,2.0,0.0,18.0,0.0,151.8,2.0,235.0,1118.0,26.0,15,0
Cedric Peerman,RB,2013,0.0,0.0,8.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7000000000000000,0.0,8.0,17.0,26.0,2,0
Chris Johnson,RB,2013,345.0,396.0,279.0,1077.0,34.0,6.0,4.0,0.0,3.0,42.0,52.0,4.0,5.0,6.0,1.0,34.0,5.0,238.2,14.0,321.0,1422.0,27.0,16,0
Chris Rainey,RB,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1,0
Christine Michael,RB,2013,0.0,0.0,18.0,79.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.9,0.0,18.0,79.0,22.0,3,0
Cordarrelle Patterson,RB,2013,469.0,276.0,12.0,158.0,1.0,3.0,4.0,2.0,0.0,45.0,75.0,4.0,6.0,12.0,3.0,0.0,0.0,145.7,11.0,57.0,627.0,22.0,16,0
Cyrus Gray,RB,2013,46.0,52.0,9.0,24.0,2.0,0.0,0.0,1.0,0.0,7.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,0.0,16.0,70.0,23.0,8,0
Da'Rel Scott,RB,2013,98.0,97.0,16.0,56.0,3.0,0.0,1.0,1.0,0.0,10.0,16.0,1.0,2.0,3.0,0.0,1.0,0.0,29.4,2.0,26.0,154.0,25.0,4,0
Dan Herron,RB,2013,57.0,60.0,5.0,33.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,6.0,90.0,24.0,2,0
Daniel Thomas,RB,2013,63.0,84.0,109.0,406.0,10.0,4.0,2.0,0.0,0.0,15.0,17.0,2.0,5.0,6.0,2.0,24.0,4.0,97.90000000000000,8.0,124.0,469.0,25.0,15,0
Darren McFadden,RB,2013,108.0,125.0,114.0,379.0,12.0,5.0,1.0,0.0,1.0,17.0,25.0,0.0,1.0,2.0,0.0,15.0,5.0,99.34,6.0,132.0,503.0,26.0,10,0
Darren Sproles,RB,2013,604.0,518.0,53.0,220.0,3.0,2.0,2.0,0.0,1.0,71.0,89.0,2.0,6.0,9.0,1.0,10.0,2.0,174.4,6.0,124.0,824.0,30.0,15,0
